lfdn;external_lfdn;tester;dispcode;lastpage;quality;duration;v_2;v_3;v_6;v_9;v_10;v_11;v_99;v_100;v_101;v_102;v_103;v_104;v_105;v_106;v_108;v_109;v_110;v_111;v_112;v_113;v_114;v_115;v_116;v_117;v_118;v_119;v_120;v_121;v_122;v_123;v_124;v_125;v_126;v_127;v_128;v_129;v_130;v_131;v_132;v_133;v_134;v_135;v_136;v_137;v_138;v_139;v_140;v_141;v_142;v_143;v_144;v_145;v_153;v_152;v_151;v_150;v_149;v_148;v_154;v_156;v_160;v_161;v_147;v_146;v_157;v_158;v_159;browser;referer;device_type;participant_browser;participant_browser_version;participant_os;participant_device;participant_brand;participant_model;participant_isbot;participant_continent;participant_country;participant_region;participant_city;participant_latitude;participant_longitude;quota;quota_assignment;quota_rejected_id;page_history;hflip;vflip;output_mode;javascript;flash;session_id;language;cleaned;ats;datetime;date_of_last_access;date_of_first_mail;rts5715173;rts5715221;rts5715733;rts5716658;rts5716675;rts5716756;rts5717165
5;0;0;31;5715181;-77;305;2;26;Germany;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;3;1;2;1;2;3;1;1;3;1;1;2;3;3;1;3;1;5;1;1;2;1;3;3;1;4;1;3;1;1;1;1;4;4;1;6;2;1;5;5;3;3;Not like that much;Go back to Real Life;no;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;0;1;0;-77;-77;2f1cc6c6aaa3b68b3c3afaa46cbd3307;1;0;1644510604;10.02.2022 16:30;10.02.2022 16:35;0000-00-00 00:00:00;48;82;104;129;169;305;204
2;0;0;31;5715181;-77;387;2;24;Germany;4;1;5;2;1;1;1;1;1;1;1;5;1;1;2;2;2;3;2;2;2;4;3;3;3;3;3;3;4;3;4;3;4;3;4;3;4;3;4;4;3;4;4;4;4;3;4;3;4;5;4;5;4;5;4;2;4;4;4;5;4;Everything was fine;The user interface was great;They where fine;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5716756,5716756,5715181;0;0;0;-77;-77;b478a29a95505af4ced9538f6c5bd913;1;0;1644510539;10.02.2022 16:28;10.02.2022 16:35;0000-00-00 00:00:00;52;89;204;258;287;387;294
1;0;0;31;5715181;-77;538;2;32;Germany;2;1;3;2;1;7;5;3;5;2;4;3;2;2;4;2;3;4;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;-;-;-;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 OPR/83.0.4254.46";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;0;1;0;-77;-77;01cb7742d88356760f2801228a580cfb;1;0;1644510539;10.02.2022 16:28;10.02.2022 16:37;0000-00-00 00:00:00;64;181;284;311;507;538;514
6;0;0;31;5715181;-77;596;1;21;Germany;1;2;1;2;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;5;5;5;1;1;1;1;5;1;1;1;5;1;5;1;1;1;1;1;1;1;5;1;1;1;5;1;5;5;1;1;1;7;7;7;1;2;1;1;1;1;1;Don't use Mozille Hubs.;Don't use Mozille Hubs.;Don't use Mozille Hubs.;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715173,5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;1;1;0;-77;-77;7e5491035541af33a8797e90f77232ce;1;0;1644510641;10.02.2022 16:30;10.02.2022 16:40;0000-00-00 00:00:00;53;88;213;360;410;595;497
4;0;0;31;5715181;-77;718;2;22;Germany;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;5;1;5;1;5;1;5;1;5;3;1;1;1;1;5;1;3;4;3;3;5;3;1;1;1;1;1;1;1;2;1;5;4;6;5;NoVR;Dont use Mozilla Hubs;Nothing;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715173,5715173,5715173,5715173,5715173,5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;0;0;0;-77;-77;ee8be6d385bef9e001b2a55c07396367;1;0;1644510600;10.02.2022 16:30;10.02.2022 16:41;0000-00-00 00:00:00;99;155;335;449;552;718;587
16;0;0;31;5715181;-77;937;2;26;Germany;5;1;5;1;2;5;4;4;4;5;5;3;2;3;1;3;3;3;3;1;1;2;2;2;2;1;5;1;1;1;2;3;2;1;3;1;1;1;5;4;5;3;1;3;5;3;5;3;2;-77;-77;-77;-77;-77;-77;2;3;5;4;3;3;The conference was ok but it feels like a rush by time restrictions, in VR it might be possibe to take a little bit more time for pitches.;It might be better to use the mouse without click to change the viewdircetion, there were problems that the Site was reloaded all 60 seconds so i switched to webex. The Audio quality can be improfed. The possibility for more than x users in a room might be better.;There were Avatars with and without legs, there were diferent Animations between the caracters for symbolize speaking but it was a litle bit confusing.;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5716756,5715181;0;0;0;-77;-77;f3e5d743be8c28c27c783020c749706b;1;0;1644511256;10.02.2022 16:40;10.02.2022 16:56;0000-00-00 00:00:00;73;166;341;404;499;937;0
23;0;0;31;5715181;-77;469;2;23;Germany;6;1;3;1;1;5;4;3;5;5;5;2;3;5;4;3;2;4;4;4;2;3;4;3;2;3;3;3;3;3;3;3;3;3;5;3;2;4;4;2;4;5;4;2;4;4;3;4;3;5;3;7;4;2;4;2;5;2;3;4;5;it was ok;the speaker location and sound directions are cool;Avatars that are big hide the names - dislike;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5715181;1;0;0;-77;-77;01bbeb624b5aea26e5e9784bf8607d7c;1;0;1644511862;10.02.2022 16:51;10.02.2022 16:58;0000-00-00 00:00:00;50;135;219;232;278;469;286
7;0;0;32;5715181;-77;-1;2;25;Germany;5;2;2;2;1;6;1;5;5;2;5;2;4;3;3;2;2;4;4;4;2;3;3;3;2;4;4;2;3;2;4;2;4;1;4;2;2;1;4;1;5;3;1;2;4;4;4;2;2;5;4;7;2;2;1;2;5;3;6;5;5;the idea is cool, but it was not really optimized i feel like. random people being abloe to sabotage the presentation, no easy way to set up a link for example.;right management must be way better;maybe more options? but then again it was possible to upload one of your own so not really no;"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:96.0) Gecko/20100101 Firefox/96.0";https://fh-erfurt.webex.com/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5715181;1;0;0;-77;-77;ee1730117e8c466ba00a0423e9c3462d;1;0;1644510799;10.02.2022 16:33;10.02.2022 18:53;0000-00-00 00:00:00;29;1970;8084;8201;8243;8407;8274
9;0;0;31;5715181;-77;672;2;26;Pakistan;6;2;4;1;1;4;4;4;5;4;5;3;4;3;4;3;5;4;4;2;4;4;4;4;4;4;2;4;4;4;2;4;4;4;3;3;4;3;4;1;2;4;4;5;4;5;2;3;4;6;6;6;7;7;5;1;7;6;4;2;2;The large and well managed confernence;Interaction with Objects models;I customized my own avatar and it's cool feature;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36";https://fh-erfurt.info/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5715181;0;0;0;-77;-77;f7b67eaed09d614169022b449362b7fb;1;0;1644511072;10.02.2022 16:37;10.02.2022 16:49;0000-00-00 00:00:00;252;332;405;457;507;672;545
10;0;0;31;5715181;-77;2114;2;31;Pakistan;7;2;1;2;1;5;4;5;5;5;5;3;5;4;5;5;5;5;4;5;4;5;4;5;4;5;4;4;4;4;4;4;4;4;4;2;4;3;3;3;5;3;3;4;4;4;4;4;3;7;7;6;6;6;6;2;5;6;7;3;2;Audio quality was not so good;.;.;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36";https://fh-erfurt.info/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715173,5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;1;0;0;-77;-77;37f6c60223c67e04745cf35f1270ffc5;1;0;1644511077;10.02.2022 16:37;10.02.2022 17:13;0000-00-00 00:00:00;1743;1795;1840;1857;1960;2114;1990
31;0;0;31;5715181;-77;536;2;30;Pakistan;5;1;4;2;1;5;4;7;7;4;4;3;4;3;4;4;5;5;5;3;3;3;4;4;4;4;2;4;2;4;1;4;3;4;3;3;4;4;4;4;1;4;4;4;4;3;2;2;3;5;5;5;5;5;5;1;7;6;6;2;2;As after attending the conference it was informative, amazing , good and smooth actually.;No it was user friendly actually.;Not at the moment. It looks good.;"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36";https://fh-erfurt.info/;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;1;0;0;-77;-77;7daa2d40380a281d9e0af57f32de11a2;1;0;1644582050;11.02.2022 12:20;11.02.2022 12:29;0000-00-00 00:00:00;22;57;97;133;388;536;402
11;0;0;31;5715181;-77;338;1;21;Germany;6;1;5;1;1;4;3;7;6;6;5;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;2;4;4;4;4;4;i liked the rooms;the movement is intuitiv;that others have the default ability to create objects;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36";-99;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715173,5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;0;1;0;-77;-77;6bd45c7d46b6e4517353689344fce758;1;0;1644511113;10.02.2022 16:38;10.02.2022 16:44;0000-00-00 00:00:00;32;177;232;254;266;338;273
18;0;0;31;5715181;-77;222;2;26;Pakistan;4;2;3;2;1;4;3;4;4;4;4;3;2;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;5;3;1;6;6;6;5;5;everything is good;Vr ENVIRONMENT is cool;Really cool avatars i like them;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.82 Safari/537.36";-99;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;1;1;0;-77;-77;b404527c4234def08627d1a582ab8812;1;0;1644511418;10.02.2022 16:43;10.02.2022 16:47;0000-00-00 00:00:00;33;64;93;104;118;222;126
20;0;0;31;5715181;-77;473;2;25;India;5;2;1;2;1;4;4;5;5;4;5;2;3;3;4;4;4;4;4;2;3;3;4;4;4;4;3;4;2;4;2;4;2;4;3;3;4;4;3;3;3;2;4;4;4;4;4;4;4;6;6;6;6;6;4;1;6;7;7;6;6;Keynote speaker shared valuable information. Liked Watching different genre games.;Environment is good, but internet connectivity and heating issues of system to load more objects.;Avatars were cool.;"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15";-99;0;0;-99;0;0;0;0;0;0;0;-99;-99;-66;-66;0;-66;0;5715173,5715221,5715733,5716658,5716675,5717159,5717165,5716756,5716756,5716756,5715181;0;0;0;-77;-77;24a1f2327000de8b9ccb37851aed4cc3;1;0;1644511443;10.02.2022 16:44;10.02.2022 16:51;0000-00-00 00:00:00;39;77;138;188;256;473;285
